1	12Call (ais) card
2	TrueMoney card
4	12Call (ais) sms
5	TrueMoney SMS
6	dtachappy sms
13	12call(ais) card
14	truemoney card
16	molpoints card
17	12call (ais) sms
18	truemoney sms
19	dtachappy sms
30	Telkomsel Sms
31	Indosat SMS
32	XL SMS
37	Digi (806) DIGI
38	MAXIS2 SMS
42	Telenor DCB (SMS)
45	Celcom (805) CELCOM
55	Telenor DCB (SMS)
56	easypoint Ecode (card)
60	Telkomsel DCB
61	Indosat DCB
62	XL DCB
63	3HUTCH DCB
65	Wavemoney
66	Telenor DCB (SMS)
67	IDEA
70	VODAFONE
71	AIRTEL
84	Ooredoo
86	Mpt webview
87	Globe
88	Smart & Sun
89	Smart & Sun
85	Telenor DCB (SMS)
90	G-Cash
72	Vodafone
73	Idea
74	Airtel
75	Vodafone
76	Idea
91	Dtachappy DCB
92	AIS DCB
93	CAT DCB
94	Line Wallet
100	ibanking
101	true Wallet
102	Line Wallet
103	mPay Wallet
104	Bank of Ayudhya Public Company Limited
105	Bangkok Bank Public Company Limited
106	Krung Thai Bank Public Company Limited
107	The Siam Commercial Bank Public Company Limited
108	12call (ais) sms
109	truemoney sms
110	dtachappy sms
